nohup: ignoring input
nohup: ignoring input
SGCN!

use cuda: True
Namespace(name='cora', k=None, lr=0.0005, n_clusters=7, n_z=10, cuda=True, pretrain_path='data/cora.pkl', n_input=1433)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1433, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1433, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
82P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


83Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
83Z :acc 0.5827 , nmi 0.3629 , ari 0.3096 , f1 0.4631
83P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


84Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
84Z :acc 0.5901 , nmi 0.3682 , ari 0.3200 , f1 0.4704
84P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


85Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
85Z :acc 0.5709 , nmi 0.3558 , ari 0.2929 , f1 0.4558
85P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


86Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
86Z :acc 0.5971 , nmi 0.3693 , ari 0.3301 , f1 0.4754
86P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


87Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
87Z :acc 0.5665 , nmi 0.3586 , ari 0.2875 , f1 0.4548
87P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


88Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
88Z :acc 0.5942 , nmi 0.3663 , ari 0.3251 , f1 0.4745
